"","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","Quality"
"95",1.02,0.04,1.4,0.045,85,0.9938,3.75,0.48,10.5,"B"
"96",0.6,0.17,2.3,0.058,106,0.9932,3.85,0.6,12.9,"G"
"97",0.775,0,3,0.102,23,0.9965,3.45,0.56,10.7,"B"
"98",0.5,0.25,2,0.07,22,0.9963,3.25,0.63,9.2,"B"
"99",0.9,0.06,2.5,0.079,10,0.9967,3.39,0.56,9.8,"B"
"100",0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,"G"
"101",0.61,0.3,2.1,0.084,50,0.9972,3.4,0.61,10.2,"G"
"102",0.5,0.3,1.9,0.075,22,0.9959,3.31,0.56,10.4,"G"
"103",0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,"G"
"104",0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,"B"
"105",0.49,0.24,2.2,0.07,36,0.996,3.33,0.48,9.4,"B"
"106",0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,"B"
"107",0.41,0.68,1.7,0.467,69,0.9973,3.08,1.31,9.3,"B"
"108",0.63,0.31,1.7,0.088,64,0.9969,3.46,0.79,9.3,"B"
"109",0.33,0.53,2.5,0.091,80,0.9976,3.37,0.8,9.6,"G"
"110",0.785,0.52,2,0.122,153,0.9969,3.21,0.69,9.3,"B"
"111",0.56,0.19,1.8,0.104,47,0.9964,3.19,0.93,9.5,"B"
"112",0.62,0.09,2.2,0.084,108,0.9964,3.15,0.66,9.8,"B"
"113",0.6,0.1,2.2,0.085,111,0.9964,3.15,0.66,9.8,"B"
"114",0.31,0.44,2.3,0.08,46,0.9988,3.32,0.67,9.7,"G"
"115",0.56,0.19,1.8,0.104,47,0.9964,3.19,0.93,9.5,"B"
"116",0.4,0.31,2.2,0.09,62,0.9966,3.07,0.63,10.5,"G"
"117",0.54,0.28,1.9,0.077,40,0.9978,3.39,0.61,10,"G"
"118",0.56,0.12,2,0.082,28,0.997,3.37,0.5,9.4,"G"
"119",0.55,0.04,2.2,0.119,56,0.9962,3.21,0.6,10.9,"G"
"120",0.69,0.08,1.8,0.097,89,0.9959,3.34,0.54,9.2,"G"
"121",1.07,0.09,1.7,0.178,89,0.9962,3.3,0.57,9,"B"
"122",0.55,0.04,2.2,0.119,56,0.9962,3.21,0.6,10.9,"G"
"123",0.695,0,2.5,0.075,13,0.998,3.49,0.52,9.2,"B"
"124",0.71,0,2.6,0.08,34,0.9976,3.44,0.53,9.5,"B"
"125",0.5,0.17,1.6,0.082,102,0.996,3.39,0.48,9.5,"B"
"126",0.62,0.04,1.9,0.146,90,0.9984,3.16,0.7,9.4,"B"
"127",1.33,0,1.7,0.081,12,0.9964,3.53,0.49,10.9,"B"
"128",1.33,0,1.8,0.082,12,0.9964,3.54,0.48,10.9,"B"
"129",0.59,0.16,1.8,0.065,16,0.9962,3.42,0.92,10.5,"G"
"130",0.38,0.15,1.8,0.072,19,0.9955,3.42,0.57,9.4,"B"
"131",0.745,0.56,2,0.118,134,0.9968,3.24,0.66,9.4,"B"
"132",0.5,0.09,2.3,0.049,99,0.9937,3.63,0.63,13,"B"
"133",0.5,0.09,2.3,0.049,99,0.9937,3.63,0.63,13,"B"
"134",0.5,0.01,1.5,0.06,26,0.9952,3.4,0.58,9.8,"G"
"135",1.04,0.05,2.2,0.084,29,0.9959,3.22,0.55,9.9,"G"
"136",0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,"B"
"137",0.715,0.15,1.8,0.089,52,0.9968,3.23,0.77,9.5,"B"
"138",0.415,0.36,2,0.081,45,0.9972,3.48,0.64,9.2,"B"
"139",0.56,0.19,2.1,0.081,105,0.9962,3.33,0.54,9.5,"B"
"140",0.56,0.19,2,0.081,108,0.9962,3.32,0.54,9.5,"B"
"141",0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,"B"
"142",0.715,0.15,1.8,0.089,52,0.9968,3.23,0.77,9.5,"B"
"143",0.34,0,1.8,0.05,63,0.9916,3.68,0.79,14,"G"
"144",0.39,0.08,1.7,0.066,20,0.9954,3.34,0.58,9.4,"B"
"145",0.34,0,1.8,0.05,63,0.9916,3.68,0.79,14,"G"
"146",0.67,0.55,1.8,0.117,141,0.9968,3.17,0.62,9.4,"B"
"147",0.68,0.02,1.8,0.087,94,0.9944,3.54,0.52,10,"B"
"148",0.49,0.26,1.6,0.236,88,0.9968,3.11,0.8,9.3,"B"
"149",0.49,0.1,2.3,0.074,30,0.9959,3.42,0.58,10.2,"G"
"150",0.4,0.44,2.8,0.089,43,0.9975,3.53,0.61,10.5,"G"
"151",0.33,0.47,2.1,0.077,11,0.9958,3.33,0.53,10.3,"G"
"152",0.52,1,3.4,0.61,69,0.9996,2.74,2,9.4,"B"
"153",0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,"B"
"154",0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,"B"
"155",0.43,0.42,5.5,0.07,129,0.9973,3.42,0.72,10.5,"B"
"156",0.43,0.42,5.5,0.071,128,0.9973,3.42,0.71,10.5,"B"
"157",0.43,0.42,5.5,0.07,129,0.9973,3.42,0.72,10.5,"B"
"158",0.43,0.42,5.5,0.071,128,0.9973,3.42,0.71,10.5,"B"
"159",0.68,0,2.2,0.073,22,0.9969,3.48,0.5,9.3,"B"
"160",0.6,0.18,1.9,0.079,86,0.9968,3.59,0.57,9.3,"G"
"161",0.95,0.03,2,0.09,20,0.9959,3.2,0.56,9.6,"B"
"162",0.68,0.02,1.3,0.072,20,0.9965,3.17,1.08,9.2,"B"
"163",0.53,0.04,1.7,0.076,31,0.9964,3.33,0.56,10,"G"
"164",0.6,0.26,7.3,0.07,121,0.9982,3.37,0.49,9.4,"B"
"165",0.59,0.26,7.2,0.07,121,0.9981,3.37,0.49,9.4,"B"
"166",0.63,0.48,1.7,0.1,96,0.9961,3.19,0.62,9.5,"B"
"167",0.64,0.1,2.1,0.085,101,0.9956,3.34,0.52,10.2,"B"
"168",0.55,0.03,1.6,0.072,42,0.9956,3.37,0.48,9,"B"
"169",0.63,0.07,2.1,0.089,44,0.9953,3.47,0.55,10.4,"G"
"170",0.705,0.24,1.8,0.36,63,0.9964,3,1.59,9.5,"B"
"171",0.885,0.03,1.8,0.058,8,0.9972,3.36,0.33,9.1,"B"
"172",0.42,0.17,2,0.073,18,0.9972,3.29,0.61,9.2,"G"
"173",0.42,0.17,2,0.073,18,0.9972,3.29,0.61,9.2,"G"
"174",0.62,0.05,1.9,0.068,42,0.9961,3.42,0.57,11.5,"G"
"175",0.38,0.21,2,0.08,35,0.9961,3.33,0.47,9.5,"B"
"176",0.5,0.04,1.5,0.085,49,0.9958,3.35,0.78,9.5,"B"
"177",0.38,0.21,2,0.08,35,0.9961,3.33,0.47,9.5,"B"
"178",0.52,0.42,2.3,0.087,38,0.9972,3.58,0.61,10.5,"G"
"179",0.805,0,2.5,0.068,20,0.9969,3.48,0.56,9.6,"B"
"180",0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,"B"
"181",0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,"B"
"182",0.61,0.49,2,0.27,110,0.9972,3.12,1.02,9.3,"B"
"183",0.73,0.02,2.5,0.076,42,0.9972,3.44,0.52,9.3,"B"
"184",0.61,0.2,1.8,0.077,65,0.9971,3.54,0.58,9.3,"B"
"185",0.62,0.21,1.9,0.079,62,0.997,3.52,0.58,9.3,"G"
"186",0.31,0.57,2,0.111,85,0.9971,3.26,0.53,9.7,"B"
"187",0.39,0.48,2,0.082,67,0.9972,3.34,0.55,9.2,"B"
"188",0.705,0.1,2.6,0.084,26,0.9976,3.39,0.49,9.7,"B"
"189",0.5,0.33,2,0.084,143,0.9968,3.2,0.55,9.5,"B"
"190",0.49,0.32,1.9,0.082,144,0.9968,3.2,0.55,9.5,"B"
"191",0.5,0.35,2.9,0.077,127,0.9976,3.23,0.62,9.4,"B"
"192",0.37,0.25,1.9,0.074,49,0.9974,3.57,0.62,9.8,"G"
"193",0.63,0.12,3.8,0.099,126,0.9969,3.28,0.61,9.5,"B"
"194",0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,"B"
"195",0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,"B"
"196",0.59,0.33,2,0.074,120,0.9968,3.25,0.54,9.4,"B"
"197",0.58,0.3,2.4,0.074,55,0.9968,3.46,0.59,10.2,"B"
"198",0.3,0.6,2,0.067,27,0.9981,3.11,0.97,10.1,"G"
"199",0.835,0.08,1.2,0.046,93,0.9924,3.57,0.85,13,"G"
"200",1.09,0.06,2.1,0.061,31,0.9948,3.51,0.43,11.4,"B"
"201",0.32,0.47,1.4,0.056,24,0.99695,3.22,0.82,10.3,"G"
"202",0.37,0.48,2.1,0.097,145,0.9975,3.04,1.03,9.3,"B"
"203",0.5,0.11,1.5,0.075,49,0.99545,3.36,0.79,9.5,"B"
"204",0.42,0.35,1.6,0.088,39,0.9961,3.34,0.55,9.2,"B"
"205",0.43,0.36,1.6,0.089,37,0.99615,3.34,0.56,9.2,"G"
"206",0.3,0.74,2.6,0.095,28,0.9994,3.2,0.77,10.8,"G"
"207",0.3,0.74,2.6,0.095,28,0.9994,3.2,0.77,10.8,"G"
"208",0.57,0.31,1.8,0.069,120,0.99625,3.29,0.53,9.3,"B"
"209",0.44,0.28,2.7,0.1,95,0.9966,3.22,0.67,9.4,"B"
"210",0.3,0.58,2.1,0.054,19,0.998,3.31,0.88,10.5,"G"
"211",0.53,0.6,2,0.039,19,0.99585,3.3,0.86,12.4,"G"
"212",0.725,0.24,2.8,0.083,62,0.99685,3.35,0.56,10,"G"
"213",0.44,0.64,2.1,0.059,15,0.998,3.21,0.67,10.2,"G"
"214",0.57,0.26,2.2,0.06,65,0.9959,3.3,0.43,10.1,"B"
"215",0.735,0.08,2.4,0.092,41,0.9974,3.24,0.71,9.8,"G"
"216",0.49,0.49,5.6,0.06,121,0.9974,3.34,0.76,10.5,"B"
"217",0.625,0.16,2,0.101,49,0.9962,3.14,0.57,11,"B"
"218",0.725,0.22,2.2,0.072,41,0.9967,3.36,0.55,9.1,"B"
"219",0.49,0.19,1.9,0.076,44,0.9957,3.39,0.54,9.7,"B"
"220",0.53,0.33,2.4,0.08,144,0.99655,3.3,0.6,9.5,"B"
"221",0.34,0.37,2,0.082,58,0.9964,3.34,0.59,9.4,"G"
"222",0.53,0.26,2,0.101,72,0.9957,3.15,0.57,9.4,"B"
"223",0.61,0.04,1.5,0.057,10,0.99525,3.42,0.6,9.5,"B"
"224",0.645,0.25,2,0.083,28,0.99815,3.28,0.6,10,"G"
"225",0.635,0.36,2,0.089,55,0.99745,3.31,0.57,10.4,"B"
"226",0.43,0.25,2.6,0.073,63,0.99615,3.37,0.58,10.5,"G"
"227",0.59,0.5,2,0.337,81,0.9964,3.04,1.61,9.5,"G"
"228",0.82,0.14,2.6,0.089,23,0.9984,3.39,0.63,9.8,"B"
"229",0.43,0.25,2.6,0.073,63,0.99615,3.37,0.58,10.5,"G"
"230",0.52,0.25,2.6,0.081,37,0.99685,3.46,0.5,11,"B"
"231",0.48,0.04,1.6,0.054,106,0.9927,3.54,0.62,12.2,"G"
"232",0.38,0.06,1.8,0.078,49,0.99625,3.37,0.52,9.9,"G"
"233",0.37,0.2,2.8,0.09,58,0.998,3.34,0.7,9.6,"G"
"234",0.52,0.25,2.6,0.081,37,0.99685,3.46,0.5,11,"B"
"235",1,0.09,2.3,0.065,37,0.99685,3.32,0.55,9,"G"
"236",0.63,0,1.9,0.097,38,0.99675,3.37,0.58,9,"G"
"237",0.63,0,1.9,0.097,38,0.99675,3.37,0.58,9,"G"
"238",0.645,0,1.9,0.097,39,0.99675,3.37,0.58,9.2,"G"
"239",0.63,0,1.9,0.097,38,0.99675,3.37,0.58,9,"G"
"240",1,0.09,2.3,0.065,37,0.99685,3.32,0.55,9,"G"
"241",0.635,0.37,1.7,0.263,62,0.9971,3,1.09,9.3,"B"
"242",0.38,0.56,2.1,0.093,24,0.99925,3.14,0.71,10.9,"G"
"243",0.58,0.1,1.8,0.102,109,0.99565,3.08,0.49,9.8,"G"
"244",0.21,0.44,2.2,0.075,24,1.00005,3.07,0.84,9.2,"G"
"245",0.21,0.44,2.2,0.075,24,1.00005,3.07,0.84,9.2,"G"
"246",0.66,0,2,0.084,23,0.9983,3.61,0.96,9.9,"G"
"247",0.68,0.07,1.9,0.075,51,0.99685,3.38,0.52,9.5,"B"
"248",0.6,0.17,2.3,0.072,73,0.9963,3.2,0.45,9.3,"B"
"249",0.53,0.06,1.7,0.074,39,0.99615,3.35,0.48,9.8,"G"
"250",0.66,0,2,0.084,23,0.9983,3.61,0.96,9.9,"G"
"251",0.32,0.44,1.6,0.063,37,0.9985,3.22,0.78,10,"G"
"252",0.6,0,1.8,0.074,34,0.9972,3.47,0.7,9.9,"G"
"253",0.35,0.48,3.1,0.09,21,0.9986,3.17,0.53,10.5,"B"
"254",0.775,0.42,1.9,0.092,86,0.9959,3.23,0.59,9.5,"B"
"255",0.6,0,1.8,0.074,34,0.9972,3.47,0.7,9.9,"G"
"256",0.57,0.23,3.2,0.073,119,0.99675,3.26,0.57,9.3,"B"
"257",0.34,0.37,2.2,0.075,13,0.998,3.22,0.62,9.2,"B"
"258",0.695,0,2.1,0.075,56,0.9968,3.49,0.67,9.2,"B"
"259",0.41,0.76,1.8,0.611,45,0.9968,3.06,1.26,9.4,"B"
"260",0.31,0.47,2.6,0.085,33,0.99965,3.36,0.8,10.5,"G"
"261",0.33,0.23,1.7,0.077,45,0.99625,3.29,0.65,9.3,"B"
"262",0.975,0.04,2,0.087,67,0.99565,3.35,0.6,9.4,"B"
"263",0.52,0.03,1.7,0.07,35,0.99575,3.34,0.57,10,"B"
"264",0.37,0.23,1.8,0.077,49,0.9963,3.28,0.67,9.3,"B"
"265",0.56,0.49,2.4,0.064,27,0.9999,3.08,0.87,10.9,"B"
"266",0.26,0.52,1.8,0.071,10,0.9968,3.2,0.72,10.2,"G"
"267",0.87,0,3.3,0.096,61,1.00025,3.6,0.72,9.8,"B"
"268",0.35,0.46,3.6,0.078,37,0.9973,3.35,0.86,12.8,"G"
"269",0.54,0.04,3,0.077,27,0.9987,3.69,0.91,9.4,"G"
"270",0.18,0.51,4,0.104,23,0.9996,3.28,0.97,10.1,"G"
"271",0.545,0.06,4,0.087,61,0.9965,3.36,0.67,10.7,"G"
"272",0.18,0.51,4,0.104,23,0.9996,3.28,0.97,10.1,"G"
"273",0.37,0.58,4,0.071,65,0.99935,3.22,0.78,10.1,"B"
"274",0.715,0.2,2.4,0.076,38,0.99735,3.31,0.64,9.4,"B"
"275",0.65,0.18,7,0.088,94,0.99915,3.38,0.77,9.4,"B"
"276",0.545,0.06,4,0.087,61,0.9965,3.36,0.67,10.7,"G"
"277",0.54,0.04,3,0.077,27,0.9987,3.69,0.91,9.4,"G"
"278",0.18,0.51,4,0.104,23,0.9996,3.28,0.97,10.1,"G"
"279",0.32,0.45,6.4,0.073,13,0.9976,3.23,0.82,12.6,"G"
"280",0.4,0.32,5.6,0.087,47,0.9991,3.38,0.77,10.5,"G"
"281",0.26,0.44,3.6,0.071,19,0.9986,3.12,0.82,9.3,"G"
"282",0.27,0.68,3.5,0.358,10,0.9972,3.25,1.08,9.9,"G"
"283",0.52,0.12,3,0.067,53,0.9971,3.36,0.57,9.1,"B"
"284",0.4,0.32,5.6,0.087,47,0.9991,3.38,0.77,10.5,"G"
"285",0.59,0.07,3.4,0.102,71,1.00015,3.31,0.71,9.8,"B"
"286",0.59,0.07,3.4,0.102,71,1.00015,3.31,0.71,9.8,"B"
"287",0.45,0.55,2,0.073,49,0.9997,3.1,0.76,10.3,"G"
"288",0.4,0.12,3,0.092,53,0.9967,3.37,0.7,10.3,"G"
"289",0.52,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6,"G"
"290",0.42,0.53,3.3,0.105,98,1.001,3.2,0.95,9.2,"B"
"291",0.52,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6,"G"
"292",0.2,0.48,2,0.343,18,0.9979,3.3,0.71,10.5,"B"
"293",0.55,0.23,2.7,0.091,48,0.9994,3.22,0.64,10.3,"G"
"294",0.36,0.25,2.4,0.098,16,0.9964,3.41,0.6,10.1,"G"
"295",0.34,0.52,3.2,0.094,53,1.0014,3.05,0.81,9.5,"G"
"296",0.5,0.46,2.5,0.073,27,1.0001,3.05,0.64,9.5,"B"
"297",0.83,0.37,2.6,0.086,70,0.9981,3.16,0.52,9.9,"B"
"298",0.63,0.06,2,0.083,29,0.99855,3.67,0.73,9.6,"B"
"299",0.65,0.02,2.3,0.094,31,0.9993,3.67,0.8,9.7,"B"
"300",0.67,0.06,2.1,0.08,33,0.99845,3.68,0.71,9.6,"B"
"301",0.53,0.06,2.6,0.086,44,0.9965,3.38,0.59,10.7,"G"
"302",0.18,0.48,1.5,0.068,15,0.9973,3.22,0.64,10.1,"G"
"303",0.705,0.12,2.6,0.092,28,0.9994,3.51,0.72,10,"B"
"304",0.67,0.12,1.6,0.186,21,0.996,3.39,0.54,9.5,"B"
"305",0.65,0.6,2.1,0.112,90,0.9973,3.2,0.52,9.2,"B"
"306",0.53,0.48,2.5,0.063,25,0.9998,3.12,0.59,9.3,"G"
"307",0.62,0.32,2.2,0.082,54,0.9966,3.36,0.52,9.4,"B"
"308",0.41,0.42,2.4,0.213,14,0.9994,3.19,0.62,9.5,"G"
"309",0.43,0.44,2.4,0.214,12,0.9994,3.19,0.63,9.5,"G"
"310",0.29,0.38,1.7,0.062,30,0.9968,3.41,0.53,9.5,"G"
"311",0.53,0.48,2.5,0.063,25,0.9998,3.12,0.59,9.3,"G"
"312",0.53,0.24,2,0.072,105,0.996,3.27,0.54,9.4,"G"
"313",0.46,0.31,2.8,0.093,98,0.99815,3.32,0.63,9.5,"G"
"314",0.47,0.3,3,0.076,135,0.9976,3.3,0.53,9.4,"B"
"315",0.36,0.29,2.6,0.087,72,0.99645,3.39,0.68,11,"B"
"316",0.35,0.29,2.5,0.096,53,0.9962,3.42,0.65,11,"G"
"317",0.56,0.23,3.4,0.102,92,0.9996,3.3,0.65,10.1,"B"
"318",0.77,0.12,2.9,0.082,74,0.99865,3.3,0.64,10.4,"G"
"319",0.66,0.39,3.2,0.083,59,0.9989,3.37,0.71,11.5,"G"
"320",0.77,0.12,2.9,0.082,74,0.99865,3.3,0.64,10.4,"G"
"321",0.66,0.39,3.2,0.083,59,0.9989,3.37,0.71,11.5,"G"
"322",0.61,0.26,3.4,0.09,87,0.99975,3.24,0.62,9.7,"B"
"323",0.62,0.05,2.3,0.079,18,0.99735,3.29,0.63,9.3,"B"
"324",0.59,0.42,2.8,0.09,73,0.999,3.28,0.7,9.5,"G"
"325",0.49,0.2,11,0.071,50,1.0015,3.16,0.69,9.2,"G"
"326",0.49,0.2,11,0.071,50,1.0015,3.16,0.69,9.2,"G"
"327",0.53,0.66,3.65,0.121,14,0.9978,3.05,0.74,11.5,"G"
"328",0.44,0.5,4.5,0.107,13,0.998,3.28,0.83,11.5,"B"
"329",0.27,0.62,2.6,0.082,21,1.0002,3.16,0.67,9.7,"G"
"330",0.46,0.39,2,0.061,15,0.9981,3.18,0.62,9.5,"B"
"331",0.36,0.64,2.9,0.122,41,0.998,3.23,0.66,12.5,"G"
"332",0.36,0.64,2.9,0.122,41,0.998,3.23,0.66,12.5,"G"
"333",0.58,0.28,3.2,0.066,114,0.9973,3.22,0.54,9.4,"G"
"334",0.56,0.08,2.1,0.105,44,0.9958,3.13,0.52,11,"B"
"335",0.65,0.01,2.5,0.078,38,0.9963,3.34,0.74,11.7,"G"
"336",0.695,0.53,3.4,0.128,21,0.9992,3.17,0.84,12.2,"G"
